country,cases,deaths,datetime
LT,10949,136,2020-10-27T00:00:00
ES,1098320,35031,2020-10-27T00:00:00
SE,110594,5933,2020-10-27T00:00:00
FR,1165278,35018,2020-10-27T00:00:00
PT,121133,2343,2020-10-27T00:00:00
LU,14399,147,2020-10-27T00:00:00
FI,14970,354,2020-10-27T00:00:00
NO,17908,279,2020-10-27T00:00:00
RO,212492,6470,2020-10-27T00:00:00
SI,24080,188,2020-10-27T00:00:00
PL,263929,4483,2020-10-27T00:00:00
CZ,268370,2365,2020-10-27T00:00:00
NL,301249,7062,2020-10-27T00:00:00
GR,31496,581,2020-10-27T00:00:00
BE,333624,10899,2020-10-27T00:00:00
CY,3636,25,2020-10-27T00:00:00
HR,37208,452,2020-10-27T00:00:00
BG,40132,1136,2020-10-27T00:00:00
LI,413,1,2020-10-27T00:00:00
DK,41412,708,2020-10-27T00:00:00
EE,4428,73,2020-10-27T00:00:00
DE,449275,10098,2020-10-27T00:00:00
IS,4504,11,2020-10-27T00:00:00
SK,45155,165,2020-10-27T00:00:00
LV,4757,60,2020-10-27T00:00:00
MT,5373,50,2020-10-27T00:00:00
IT,542789,37479,2020-10-27T00:00:00
IE,58067,1885,2020-10-27T00:00:00
Total,6269320,210953,2020-10-27T00:00:00
HU,63642,1535,2020-10-27T00:00:00
AT,85048,988,2020-10-27T00:00:00
GB,894690,44998,2020-10-27T00:00:00
