country,cases,deaths,datetime
LI,80,1,2020-04-11T00:00:00
MT,350,2,2020-04-11T00:00:00
CY,595,15,2020-04-11T00:00:00
LV,612,2,2020-04-11T00:00:00
BG,635,25,2020-04-11T00:00:00
SK,715,2,2020-04-11T00:00:00
LT,999,17,2020-04-11T00:00:00
SI,1160,45,2020-04-11T00:00:00
EE,1258,24,2020-04-11T00:00:00
HU,1310,85,2020-04-11T00:00:00
HR,1495,21,2020-04-11T00:00:00
IS,1675,7,2020-04-11T00:00:00
GR,2011,90,2020-04-11T00:00:00
FI,2769,48,2020-04-11T00:00:00
LU,3223,54,2020-04-11T00:00:00
RO,5467,257,2020-04-11T00:00:00
CZ,5732,119,2020-04-11T00:00:00
DK,5819,247,2020-04-11T00:00:00
PL,5955,181,2020-04-11T00:00:00
NO,6244,92,2020-04-11T00:00:00
IE,8089,287,2020-04-11T00:00:00
SE,9685,870,2020-04-11T00:00:00
AT,13560,319,2020-04-11T00:00:00
PT,15472,435,2020-04-11T00:00:00
NL,23097,2511,2020-04-11T00:00:00
BE,26667,3019,2020-04-11T00:00:00
GB,70272,8958,2020-04-11T00:00:00
FR,90676,13197,2020-04-11T00:00:00
DE,117658,2544,2020-04-11T00:00:00
IT,147577,18851,2020-04-11T00:00:00
ES,157022,15843,2020-04-11T00:00:00
Total,727879,68168,2020-04-11T00:00:00
