country,cases,deaths,datetime
LI,17507,84,2022-06-01T00:00:00
MT,94742,721,2022-06-01T00:00:00
IS,188291,153,2022-06-01T00:00:00
LU,248279,1078,2022-06-01T00:00:00
CY,489963,1059,2022-06-01T00:00:00
EE,577034,2574,2022-06-01T00:00:00
LV,828614,5824,2022-06-01T00:00:00
SI,1025030,6637,2022-06-01T00:00:00
LT,1062525,9144,2022-06-01T00:00:00
FI,1092193,4522,2022-06-01T00:00:00
HR,1136500,15987,2022-06-01T00:00:00
BG,1165167,37141,2022-06-01T00:00:00
NO,1433261,3141,2022-06-01T00:00:00
IE,1561632,7304,2022-06-01T00:00:00
HU,1917777,46507,2022-06-01T00:00:00
SE,2507948,18944,2022-06-01T00:00:00
SK,2542491,20100,2022-06-01T00:00:00
RO,2909195,65684,2022-06-01T00:00:00
DK,3035238,5823,2022-06-01T00:00:00
GR,3453229,29300,2022-06-01T00:00:00
CZ,3920299,40288,2022-06-01T00:00:00
BE,4152558,31754,2022-06-01T00:00:00
AT,4289988,19931,2022-06-01T00:00:00
PT,4682486,23113,2022-06-01T00:00:00
PL,5919015,116318,2022-06-01T00:00:00
NL,8085869,22322,2022-06-01T00:00:00
ES,12394182,106053,2022-06-01T00:00:00
IT,17421410,166697,2022-06-01T00:00:00
DE,26360041,139087,2022-06-01T00:00:00
FR,29519150,148327,2022-06-01T00:00:00
