country,cases,deaths,datetime
LI,83,1,2020-06-19T00:00:00
MT,663,9,2020-06-19T00:00:00
CY,985,19,2020-06-19T00:00:00
LV,1108,30,2020-06-19T00:00:00
SI,1511,109,2020-06-19T00:00:00
SK,1562,28,2020-06-19T00:00:00
LT,1784,76,2020-06-19T00:00:00
IS,1816,10,2020-06-19T00:00:00
EE,1977,69,2020-06-19T00:00:00
HR,2269,107,2020-06-19T00:00:00
GR,3227,188,2020-06-19T00:00:00
BG,3674,190,2020-06-19T00:00:00
HU,4081,568,2020-06-19T00:00:00
LU,4091,110,2020-06-19T00:00:00
FI,7117,326,2020-06-19T00:00:00
NO,8692,244,2020-06-19T00:00:00
CZ,10230,334,2020-06-19T00:00:00
DK,12344,600,2020-06-19T00:00:00
AT,17155,688,2020-06-19T00:00:00
RO,23080,1473,2020-06-19T00:00:00
IE,25355,1714,2020-06-19T00:00:00
PL,31015,1316,2020-06-19T00:00:00
PT,38089,1524,2020-06-19T00:00:00
NL,49319,6078,2020-06-19T00:00:00
SE,56043,5053,2020-06-19T00:00:00
BE,60348,9683,2020-06-19T00:00:00
FR,158641,29603,2020-06-19T00:00:00
DE,188534,8872,2020-06-19T00:00:00
IT,238159,34514,2020-06-19T00:00:00
ES,245268,27136,2020-06-19T00:00:00
GB,300469,42288,2020-06-19T00:00:00
Total,1498689,172960,2020-06-19T00:00:00
