country,cases,intensive_care,datetime
Scotland,1077,,2020-06-06T00:00:00
Scotland,1284,,2020-06-06T00:00:00
Scotland,1676,,2020-06-06T00:00:00
Scotland,2007,,2020-06-06T00:00:00
Scotland,261,,2020-06-06T00:00:00
Scotland,2769,5,2020-06-06T00:00:00
Scotland,326,,2020-06-06T00:00:00
Scotland,339,,2020-06-06T00:00:00
Scotland,3971,,2020-06-06T00:00:00
Scotland,54,,2020-06-06T00:00:00
Scotland,6,,2020-06-06T00:00:00
Scotland,8,,2020-06-06T00:00:00
Scotland,879,,2020-06-06T00:00:00
Scotland,946,,2020-06-06T00:00:00
Scotland,,,2020-06-06T00:00:00
