country,cases,intensive_care,datetime
Scotland,,,2020-05-07T00:00:00
Scotland,1465,,2020-05-07T00:00:00
Scotland,1576,7,2020-05-07T00:00:00
Scotland,2241,12,2020-05-07T00:00:00
Scotland,254,,2020-05-07T00:00:00
Scotland,286,,2020-05-07T00:00:00
Scotland,313,,2020-05-07T00:00:00
Scotland,3277,32,2020-05-07T00:00:00
Scotland,54,,2020-05-07T00:00:00
Scotland,6,,2020-05-07T00:00:00
Scotland,7,,2020-05-07T00:00:00
Scotland,801,,2020-05-07T00:00:00
Scotland,818,,2020-05-07T00:00:00
Scotland,853,7,2020-05-07T00:00:00
Scotland,973,11,2020-05-07T00:00:00
