country,nuts_3,cases,intensive_care,datetime
Scotland,Ayrshire and Arran,1061,,2020-06-01T00:00:00
Scotland,Grampian,1278,,2020-06-01T00:00:00
Scotland,Tayside,1671,,2020-06-01T00:00:00
Scotland,Lanarkshire,1987,,2020-06-01T00:00:00
Scotland,Dumfries and Galloway,260,,2020-06-01T00:00:00
Scotland,Lothian,2714,5,2020-06-01T00:00:00
Scotland,Borders,325,,2020-06-01T00:00:00
Scotland,Highland,338,,2020-06-01T00:00:00
Scotland,Greater Glasgow and Clyde,3949,7,2020-06-01T00:00:00
Scotland,Shetland,54,,2020-06-01T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,2020-06-01T00:00:00
Scotland,Orkney,8,,2020-06-01T00:00:00
Scotland,Fife,836,,2020-06-01T00:00:00
Scotland,Forth Valley,931,,2020-06-01T00:00:00
Scotland,Golden Jubilee National Hospital,,,2020-06-01T00:00:00
