country,cases,intensive_care,datetime
Scotland,1058,,2020-06-23T00:00:00
Scotland,1251,,2020-06-23T00:00:00
Scotland,1413,,2020-06-23T00:00:00
Scotland,1763,,2020-06-23T00:00:00
Scotland,18182,21,2020-06-23T00:00:00
Scotland,2715,,2020-06-23T00:00:00
Scotland,285,,2020-06-23T00:00:00
Scotland,3147,10,2020-06-23T00:00:00
Scotland,346,,2020-06-23T00:00:00
Scotland,374,,2020-06-23T00:00:00
Scotland,4832,,2020-06-23T00:00:00
Scotland,54,,2020-06-23T00:00:00
Scotland,7,,2020-06-23T00:00:00
Scotland,9,,2020-06-23T00:00:00
Scotland,928,,2020-06-23T00:00:00
Scotland,,,2020-06-23T00:00:00
