country,cases,intensive_care,datetime
Scotland,1019,,2020-05-25T00:00:00
Scotland,1245,,2020-05-25T00:00:00
Scotland,1659,,2020-05-25T00:00:00
Scotland,1944,,2020-05-25T00:00:00
Scotland,260,,2020-05-25T00:00:00
Scotland,2669,9,2020-05-25T00:00:00
Scotland,322,,2020-05-25T00:00:00
Scotland,335,,2020-05-25T00:00:00
Scotland,3892,12,2020-05-25T00:00:00
Scotland,54,,2020-05-25T00:00:00
Scotland,6,,2020-05-25T00:00:00
Scotland,7,,2020-05-25T00:00:00
Scotland,827,,2020-05-25T00:00:00
Scotland,917,,2020-05-25T00:00:00
Scotland,,,2020-05-25T00:00:00
