country,nuts_3,cases,intensive_care,datetime
Scotland,Ayrshire and Arran,1071,,2020-06-04T00:00:00
Scotland,Grampian,1283,,2020-06-04T00:00:00
Scotland,Tayside,1671,,2020-06-04T00:00:00
Scotland,Lanarkshire,2002,6,2020-06-04T00:00:00
Scotland,Dumfries and Galloway,261,,2020-06-04T00:00:00
Scotland,Lothian,2752,5,2020-06-04T00:00:00
Scotland,Borders,325,,2020-06-04T00:00:00
Scotland,Highland,338,,2020-06-04T00:00:00
Scotland,Greater Glasgow and Clyde,3961,5,2020-06-04T00:00:00
Scotland,Shetland,54,,2020-06-04T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,2020-06-04T00:00:00
Scotland,Orkney,8,,2020-06-04T00:00:00
Scotland,Fife,877,,2020-06-04T00:00:00
Scotland,Forth Valley,944,,2020-06-04T00:00:00
Scotland,Golden Jubilee National Hospital,,,2020-06-04T00:00:00
