country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-04-29T00:00:00
Scotland,1313,96,,2020-04-29T00:00:00
Scotland,1329,253,12,2020-04-29T00:00:00
Scotland,1907,254,17,2020-04-29T00:00:00
Scotland,236,43,,2020-04-29T00:00:00
Scotland,244,32,,2020-04-29T00:00:00
Scotland,2672,555,42,2020-04-29T00:00:00
Scotland,279,37,,2020-04-29T00:00:00
Scotland,54,,,2020-04-29T00:00:00
Scotland,6,,,2020-04-29T00:00:00
Scotland,7,,,2020-04-29T00:00:00
Scotland,712,148,6,2020-04-29T00:00:00
Scotland,717,92,6,2020-04-29T00:00:00
Scotland,745,109,6,2020-04-29T00:00:00
Scotland,813,104,10,2020-04-29T00:00:00
