country,cases,intensive_care,datetime
Scotland,,6,2020-05-13T00:00:00
Scotland,1123,9,2020-05-13T00:00:00
Scotland,1515,,2020-05-13T00:00:00
Scotland,1721,6,2020-05-13T00:00:00
Scotland,2428,6,2020-05-13T00:00:00
Scotland,254,,2020-05-13T00:00:00
Scotland,297,,2020-05-13T00:00:00
Scotland,324,,2020-05-13T00:00:00
Scotland,3579,27,2020-05-13T00:00:00
Scotland,54,,2020-05-13T00:00:00
Scotland,6,,2020-05-13T00:00:00
Scotland,7,,2020-05-13T00:00:00
Scotland,816,,2020-05-13T00:00:00
Scotland,859,,2020-05-13T00:00:00
Scotland,946,7,2020-05-13T00:00:00
