country,nuts_3,cases,intensive_care,datetime
Scotland,Ayrshire and Arran,1066,,2020-06-03T00:00:00
Scotland,Grampian,1282,,2020-06-03T00:00:00
Scotland,Tayside,1671,,2020-06-03T00:00:00
Scotland,Lanarkshire,1998,6,2020-06-03T00:00:00
Scotland,Dumfries and Galloway,260,,2020-06-03T00:00:00
Scotland,Lothian,2723,9,2020-06-03T00:00:00
Scotland,Borders,325,,2020-06-03T00:00:00
Scotland,Highland,339,,2020-06-03T00:00:00
Scotland,Greater Glasgow and Clyde,3954,6,2020-06-03T00:00:00
Scotland,Shetland,54,,2020-06-03T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,2020-06-03T00:00:00
Scotland,Orkney,8,,2020-06-03T00:00:00
Scotland,Fife,876,,2020-06-03T00:00:00
Scotland,Forth Valley,942,,2020-06-03T00:00:00
Scotland,Golden Jubilee National Hospital,,,2020-06-03T00:00:00
