country,cases,intensive_care,datetime
Scotland,1091,,2020-07-17T00:00:00
Scotland,1262,,2020-07-17T00:00:00
Scotland,1433,,2020-07-17T00:00:00
Scotland,1778,,2020-07-17T00:00:00
Scotland,18401,9,2020-07-17T00:00:00
Scotland,2743,,2020-07-17T00:00:00
Scotland,299,,2020-07-17T00:00:00
Scotland,3169,5,2020-07-17T00:00:00
Scotland,345,,2020-07-17T00:00:00
Scotland,377,,2020-07-17T00:00:00
Scotland,4897,,2020-07-17T00:00:00
Scotland,54,,2020-07-17T00:00:00
Scotland,7,,2020-07-17T00:00:00
Scotland,9,,2020-07-17T00:00:00
Scotland,937,,2020-07-17T00:00:00
Scotland,,,2020-07-17T00:00:00
