country,cases,intensive_care,datetime
Scotland,1058,,2020-05-30T00:00:00
Scotland,1273,,2020-05-30T00:00:00
Scotland,1670,,2020-05-30T00:00:00
Scotland,1984,,2020-05-30T00:00:00
Scotland,260,,2020-05-30T00:00:00
Scotland,2706,9,2020-05-30T00:00:00
Scotland,325,,2020-05-30T00:00:00
Scotland,337,,2020-05-30T00:00:00
Scotland,3943,9,2020-05-30T00:00:00
Scotland,54,,2020-05-30T00:00:00
Scotland,6,,2020-05-30T00:00:00
Scotland,8,,2020-05-30T00:00:00
Scotland,834,,2020-05-30T00:00:00
Scotland,924,,2020-05-30T00:00:00
Scotland,,,2020-05-30T00:00:00
