country,cases,intensive_care,datetime
Scotland,1069,,2020-06-29T00:00:00
Scotland,1255,,2020-06-29T00:00:00
Scotland,1419,,2020-06-29T00:00:00
Scotland,1768,,2020-06-29T00:00:00
Scotland,18241,10,2020-06-29T00:00:00
Scotland,2723,,2020-06-29T00:00:00
Scotland,285,,2020-06-29T00:00:00
Scotland,3151,,2020-06-29T00:00:00
Scotland,345,,2020-06-29T00:00:00
Scotland,375,,2020-06-29T00:00:00
Scotland,4851,,2020-06-29T00:00:00
Scotland,54,,2020-06-29T00:00:00
Scotland,7,,2020-06-29T00:00:00
Scotland,9,,2020-06-29T00:00:00
Scotland,930,,2020-06-29T00:00:00
Scotland,,,2020-06-29T00:00:00
