country,cases,intensive_care,datetime
Scotland,,,2020-05-06T00:00:00
Scotland,1445,,2020-05-06T00:00:00
Scotland,1541,5,2020-05-06T00:00:00
Scotland,2200,18,2020-05-06T00:00:00
Scotland,254,,2020-05-06T00:00:00
Scotland,285,,2020-05-06T00:00:00
Scotland,310,,2020-05-06T00:00:00
Scotland,3203,30,2020-05-06T00:00:00
Scotland,54,,2020-05-06T00:00:00
Scotland,6,,2020-05-06T00:00:00
Scotland,7,,2020-05-06T00:00:00
Scotland,792,,2020-05-06T00:00:00
Scotland,809,,2020-05-06T00:00:00
Scotland,846,7,2020-05-06T00:00:00
Scotland,957,11,2020-05-06T00:00:00
