country,nuts_3,cases,intensive_care,datetime
Scotland,Ayrshire and Arran,1076,,2020-06-05T00:00:00
Scotland,Grampian,1284,5,2020-06-05T00:00:00
Scotland,Tayside,1673,,2020-06-05T00:00:00
Scotland,Lanarkshire,2005,,2020-06-05T00:00:00
Scotland,Dumfries and Galloway,261,,2020-06-05T00:00:00
Scotland,Lothian,2760,,2020-06-05T00:00:00
Scotland,Borders,326,,2020-06-05T00:00:00
Scotland,Highland,338,,2020-06-05T00:00:00
Scotland,Greater Glasgow and Clyde,3968,,2020-06-05T00:00:00
Scotland,Shetland,54,,2020-06-05T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,2020-06-05T00:00:00
Scotland,Orkney,8,,2020-06-05T00:00:00
Scotland,Fife,877,,2020-06-05T00:00:00
Scotland,Forth Valley,946,,2020-06-05T00:00:00
Scotland,Golden Jubilee National Hospital,,,2020-06-05T00:00:00
