country,cases,intensive_care,datetime
Scotland,1039,,2020-05-29T00:00:00
Scotland,1269,5,2020-05-29T00:00:00
Scotland,1668,,2020-05-29T00:00:00
Scotland,1974,8,2020-05-29T00:00:00
Scotland,260,,2020-05-29T00:00:00
Scotland,2698,9,2020-05-29T00:00:00
Scotland,325,,2020-05-29T00:00:00
Scotland,337,,2020-05-29T00:00:00
Scotland,3939,9,2020-05-29T00:00:00
Scotland,54,,2020-05-29T00:00:00
Scotland,6,,2020-05-29T00:00:00
Scotland,8,,2020-05-29T00:00:00
Scotland,831,,2020-05-29T00:00:00
Scotland,919,,2020-05-29T00:00:00
Scotland,,,2020-05-29T00:00:00
