country,cases,intensive_care,datetime
Scotland,1035,,2020-05-28T00:00:00
Scotland,1259,,2020-05-28T00:00:00
Scotland,1665,,2020-05-28T00:00:00
Scotland,1968,9,2020-05-28T00:00:00
Scotland,260,,2020-05-28T00:00:00
Scotland,2691,8,2020-05-28T00:00:00
Scotland,323,,2020-05-28T00:00:00
Scotland,337,,2020-05-28T00:00:00
Scotland,3934,9,2020-05-28T00:00:00
Scotland,54,,2020-05-28T00:00:00
Scotland,6,,2020-05-28T00:00:00
Scotland,7,,2020-05-28T00:00:00
Scotland,830,,2020-05-28T00:00:00
Scotland,919,,2020-05-28T00:00:00
Scotland,,,2020-05-28T00:00:00
