country,cases,intensive_care,datetime
Scotland,1061,,2020-06-25T00:00:00
Scotland,1252,,2020-06-25T00:00:00
Scotland,1414,,2020-06-25T00:00:00
Scotland,1765,,2020-06-25T00:00:00
Scotland,18196,18,2020-06-25T00:00:00
Scotland,2716,5,2020-06-25T00:00:00
Scotland,285,,2020-06-25T00:00:00
Scotland,3146,5,2020-06-25T00:00:00
Scotland,345,,2020-06-25T00:00:00
Scotland,374,,2020-06-25T00:00:00
Scotland,4838,,2020-06-25T00:00:00
Scotland,54,,2020-06-25T00:00:00
Scotland,7,,2020-06-25T00:00:00
Scotland,9,,2020-06-25T00:00:00
Scotland,930,,2020-06-25T00:00:00
Scotland,,,2020-06-25T00:00:00
