country,cases,intensive_care,datetime
Scotland,1070,,2020-06-30T00:00:00
Scotland,1255,,2020-06-30T00:00:00
Scotland,1419,,2020-06-30T00:00:00
Scotland,1769,,2020-06-30T00:00:00
Scotland,18251,19,2020-06-30T00:00:00
Scotland,2724,,2020-06-30T00:00:00
Scotland,290,,2020-06-30T00:00:00
Scotland,3151,9,2020-06-30T00:00:00
Scotland,345,,2020-06-30T00:00:00
Scotland,375,,2020-06-30T00:00:00
Scotland,4853,,2020-06-30T00:00:00
Scotland,54,,2020-06-30T00:00:00
Scotland,7,,2020-06-30T00:00:00
Scotland,9,,2020-06-30T00:00:00
Scotland,930,,2020-06-30T00:00:00
Scotland,,,2020-06-30T00:00:00
