country,nuts_3,cases,intensive_care,datetime
Scotland,Ayrshire and Arran,1088,,2020-06-14T00:00:00
Scotland,Grampian,1294,,2020-06-14T00:00:00
Scotland,Tayside,1687,,2020-06-14T00:00:00
Scotland,Lanarkshire,2035,,2020-06-14T00:00:00
Scotland,Dumfries and Galloway,261,,2020-06-14T00:00:00
Scotland,Lothian,2807,5,2020-06-14T00:00:00
Scotland,Borders,327,,2020-06-14T00:00:00
Scotland,Highland,341,,2020-06-14T00:00:00
Scotland,Greater Glasgow and Clyde,4010,,2020-06-14T00:00:00
Scotland,Shetland,54,,2020-06-14T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,2020-06-14T00:00:00
Scotland,Orkney,8,,2020-06-14T00:00:00
Scotland,Fife,885,,2020-06-14T00:00:00
Scotland,Forth Valley,952,,2020-06-14T00:00:00
Scotland,Golden Jubilee National Hospital,,,2020-06-14T00:00:00
