country,cases,intensive_care,datetime
Scotland,,,2020-05-05T00:00:00
Scotland,1429,,2020-05-05T00:00:00
Scotland,1520,10,2020-05-05T00:00:00
Scotland,2149,18,2020-05-05T00:00:00
Scotland,254,,2020-05-05T00:00:00
Scotland,284,,2020-05-05T00:00:00
Scotland,307,,2020-05-05T00:00:00
Scotland,3070,32,2020-05-05T00:00:00
Scotland,54,,2020-05-05T00:00:00
Scotland,6,,2020-05-05T00:00:00
Scotland,7,,2020-05-05T00:00:00
Scotland,784,5,2020-05-05T00:00:00
Scotland,802,,2020-05-05T00:00:00
Scotland,825,8,2020-05-05T00:00:00
Scotland,946,13,2020-05-05T00:00:00
