country,cases,intensive_care,datetime
Scotland,1023,,2020-05-26T00:00:00
Scotland,1250,,2020-05-26T00:00:00
Scotland,1659,,2020-05-26T00:00:00
Scotland,1948,,2020-05-26T00:00:00
Scotland,260,,2020-05-26T00:00:00
Scotland,2675,5,2020-05-26T00:00:00
Scotland,323,,2020-05-26T00:00:00
Scotland,336,,2020-05-26T00:00:00
Scotland,3898,11,2020-05-26T00:00:00
Scotland,54,,2020-05-26T00:00:00
Scotland,6,,2020-05-26T00:00:00
Scotland,7,,2020-05-26T00:00:00
Scotland,828,,2020-05-26T00:00:00
Scotland,918,,2020-05-26T00:00:00
Scotland,,,2020-05-26T00:00:00
