country,cases,intensive_care,datetime
Scotland,1092,,2020-07-21T00:00:00
Scotland,1269,,2020-07-21T00:00:00
Scotland,1440,,2020-07-21T00:00:00
Scotland,1781,,2020-07-21T00:00:00
Scotland,18474,20,2020-07-21T00:00:00
Scotland,2762,,2020-07-21T00:00:00
Scotland,300,,2020-07-21T00:00:00
Scotland,3181,15,2020-07-21T00:00:00
Scotland,346,,2020-07-21T00:00:00
Scotland,378,,2020-07-21T00:00:00
Scotland,4918,,2020-07-21T00:00:00
Scotland,54,,2020-07-21T00:00:00
Scotland,7,,2020-07-21T00:00:00
Scotland,9,,2020-07-21T00:00:00
Scotland,937,,2020-07-21T00:00:00
Scotland,,,2020-07-21T00:00:00
