country,cases,intensive_care,datetime
Scotland,1085,,2020-07-11T00:00:00
Scotland,1258,,2020-07-11T00:00:00
Scotland,1429,,2020-07-11T00:00:00
Scotland,1773,,2020-07-11T00:00:00
Scotland,18340,6,2020-07-11T00:00:00
Scotland,2734,,2020-07-11T00:00:00
Scotland,299,,2020-07-11T00:00:00
Scotland,3165,,2020-07-11T00:00:00
Scotland,345,,2020-07-11T00:00:00
Scotland,377,,2020-07-11T00:00:00
Scotland,4872,,2020-07-11T00:00:00
Scotland,54,,2020-07-11T00:00:00
Scotland,7,,2020-07-11T00:00:00
Scotland,9,,2020-07-11T00:00:00
Scotland,933,,2020-07-11T00:00:00
Scotland,,,2020-07-11T00:00:00
