country,cases,intensive_care,datetime
Scotland,1081,,2020-06-10T00:00:00
Scotland,1287,,2020-06-10T00:00:00
Scotland,1684,,2020-06-10T00:00:00
Scotland,2021,,2020-06-10T00:00:00
Scotland,261,,2020-06-10T00:00:00
Scotland,2778,5,2020-06-10T00:00:00
Scotland,327,,2020-06-10T00:00:00
Scotland,340,,2020-06-10T00:00:00
Scotland,3990,,2020-06-10T00:00:00
Scotland,54,,2020-06-10T00:00:00
Scotland,6,,2020-06-10T00:00:00
Scotland,8,,2020-06-10T00:00:00
Scotland,880,,2020-06-10T00:00:00
Scotland,948,,2020-06-10T00:00:00
Scotland,,,2020-06-10T00:00:00
