country,cases,intensive_care,datetime
Scotland,1076,,2020-07-03T00:00:00
Scotland,1256,,2020-07-03T00:00:00
Scotland,1423,,2020-07-03T00:00:00
Scotland,1769,,2020-07-03T00:00:00
Scotland,18276,12,2020-07-03T00:00:00
Scotland,2727,,2020-07-03T00:00:00
Scotland,292,,2020-07-03T00:00:00
Scotland,3153,7,2020-07-03T00:00:00
Scotland,345,,2020-07-03T00:00:00
Scotland,375,,2020-07-03T00:00:00
Scotland,4858,,2020-07-03T00:00:00
Scotland,54,,2020-07-03T00:00:00
Scotland,7,,2020-07-03T00:00:00
Scotland,9,,2020-07-03T00:00:00
Scotland,932,,2020-07-03T00:00:00
Scotland,,,2020-07-03T00:00:00
