country,cases,intensive_care,datetime
Scotland,1085,,2020-07-10T00:00:00
Scotland,1258,,2020-07-10T00:00:00
Scotland,1429,,2020-07-10T00:00:00
Scotland,1772,,2020-07-10T00:00:00
Scotland,18333,12,2020-07-10T00:00:00
Scotland,2733,,2020-07-10T00:00:00
Scotland,298,,2020-07-10T00:00:00
Scotland,3163,7,2020-07-10T00:00:00
Scotland,345,,2020-07-10T00:00:00
Scotland,376,,2020-07-10T00:00:00
Scotland,4871,,2020-07-10T00:00:00
Scotland,54,,2020-07-10T00:00:00
Scotland,7,,2020-07-10T00:00:00
Scotland,9,,2020-07-10T00:00:00
Scotland,933,,2020-07-10T00:00:00
Scotland,,,2020-07-10T00:00:00
