country,cases,intensive_care,datetime
Scotland,1055,,2020-06-20T00:00:00
Scotland,1249,,2020-06-20T00:00:00
Scotland,1410,,2020-06-20T00:00:00
Scotland,1760,,2020-06-20T00:00:00
Scotland,18130,14,2020-06-20T00:00:00
Scotland,2698,,2020-06-20T00:00:00
Scotland,284,,2020-06-20T00:00:00
Scotland,3139,6,2020-06-20T00:00:00
Scotland,345,,2020-06-20T00:00:00
Scotland,373,,2020-06-20T00:00:00
Scotland,4819,,2020-06-20T00:00:00
Scotland,54,,2020-06-20T00:00:00
Scotland,7,,2020-06-20T00:00:00
Scotland,9,,2020-06-20T00:00:00
Scotland,928,,2020-06-20T00:00:00
Scotland,,,2020-06-20T00:00:00
