country,cases,intensive_care,datetime
Scotland,1086,,2020-07-12T00:00:00
Scotland,1258,,2020-07-12T00:00:00
Scotland,1430,,2020-07-12T00:00:00
Scotland,1775,,2020-07-12T00:00:00
Scotland,18359,6,2020-07-12T00:00:00
Scotland,2736,,2020-07-12T00:00:00
Scotland,299,,2020-07-12T00:00:00
Scotland,3166,,2020-07-12T00:00:00
Scotland,345,,2020-07-12T00:00:00
Scotland,377,,2020-07-12T00:00:00
Scotland,4884,,2020-07-12T00:00:00
Scotland,54,,2020-07-12T00:00:00
Scotland,7,,2020-07-12T00:00:00
Scotland,9,,2020-07-12T00:00:00
Scotland,933,,2020-07-12T00:00:00
Scotland,,,2020-07-12T00:00:00
