country,cases,intensive_care,datetime
Scotland,1019,,2020-05-24T00:00:00
Scotland,1224,,2020-05-24T00:00:00
Scotland,1658,,2020-05-24T00:00:00
Scotland,1934,,2020-05-24T00:00:00
Scotland,258,,2020-05-24T00:00:00
Scotland,2665,8,2020-05-24T00:00:00
Scotland,322,,2020-05-24T00:00:00
Scotland,335,,2020-05-24T00:00:00
Scotland,3876,12,2020-05-24T00:00:00
Scotland,54,,2020-05-24T00:00:00
Scotland,6,,2020-05-24T00:00:00
Scotland,7,,2020-05-24T00:00:00
Scotland,826,,2020-05-24T00:00:00
Scotland,917,,2020-05-24T00:00:00
Scotland,,,2020-05-24T00:00:00
