country,cases,intensive_care,datetime
Scotland,1070,,2020-07-01T00:00:00
Scotland,1255,,2020-07-01T00:00:00
Scotland,1421,,2020-07-01T00:00:00
Scotland,1769,,2020-07-01T00:00:00
Scotland,18259,17,2020-07-01T00:00:00
Scotland,2724,,2020-07-01T00:00:00
Scotland,291,,2020-07-01T00:00:00
Scotland,3151,8,2020-07-01T00:00:00
Scotland,345,,2020-07-01T00:00:00
Scotland,375,,2020-07-01T00:00:00
Scotland,4858,,2020-07-01T00:00:00
Scotland,54,,2020-07-01T00:00:00
Scotland,7,,2020-07-01T00:00:00
Scotland,9,,2020-07-01T00:00:00
Scotland,930,,2020-07-01T00:00:00
Scotland,,,2020-07-01T00:00:00
