country,cases,intensive_care,datetime
Scotland,1056,,2020-06-21T00:00:00
Scotland,1250,,2020-06-21T00:00:00
Scotland,1412,,2020-06-21T00:00:00
Scotland,1761,,2020-06-21T00:00:00
Scotland,18156,16,2020-06-21T00:00:00
Scotland,2704,,2020-06-21T00:00:00
Scotland,284,,2020-06-21T00:00:00
Scotland,3145,7,2020-06-21T00:00:00
Scotland,346,,2020-06-21T00:00:00
Scotland,373,,2020-06-21T00:00:00
Scotland,4827,,2020-06-21T00:00:00
Scotland,54,,2020-06-21T00:00:00
Scotland,7,,2020-06-21T00:00:00
Scotland,9,,2020-06-21T00:00:00
Scotland,928,,2020-06-21T00:00:00
Scotland,,,2020-06-21T00:00:00
