country,cases,intensive_care,datetime
Scotland,1092,,2020-07-19T00:00:00
Scotland,1266,,2020-07-19T00:00:00
Scotland,1440,,2020-07-19T00:00:00
Scotland,1781,,2020-07-19T00:00:00
Scotland,18445,4,2020-07-19T00:00:00
Scotland,2747,,2020-07-19T00:00:00
Scotland,300,,2020-07-19T00:00:00
Scotland,3177,,2020-07-19T00:00:00
Scotland,346,,2020-07-19T00:00:00
Scotland,378,,2020-07-19T00:00:00
Scotland,4912,,2020-07-19T00:00:00
Scotland,54,,2020-07-19T00:00:00
Scotland,7,,2020-07-19T00:00:00
Scotland,9,,2020-07-19T00:00:00
Scotland,936,,2020-07-19T00:00:00
Scotland,,,2020-07-19T00:00:00
