country,cases,intensive_care,datetime
Scotland,,,2020-05-20T00:00:00
Scotland,1216,6,2020-05-20T00:00:00
Scotland,1617,,2020-05-20T00:00:00
Scotland,1867,8,2020-05-20T00:00:00
Scotland,257,,2020-05-20T00:00:00
Scotland,2584,8,2020-05-20T00:00:00
Scotland,322,,2020-05-20T00:00:00
Scotland,334,,2020-05-20T00:00:00
Scotland,3780,18,2020-05-20T00:00:00
Scotland,54,,2020-05-20T00:00:00
Scotland,6,,2020-05-20T00:00:00
Scotland,7,,2020-05-20T00:00:00
Scotland,826,,2020-05-20T00:00:00
Scotland,894,,2020-05-20T00:00:00
Scotland,987,,2020-05-20T00:00:00
