country,cases,intensive_care,datetime
Scotland,1070,,2020-07-02T00:00:00
Scotland,1255,,2020-07-02T00:00:00
Scotland,1423,,2020-07-02T00:00:00
Scotland,1769,,2020-07-02T00:00:00
Scotland,18264,9,2020-07-02T00:00:00
Scotland,2726,,2020-07-02T00:00:00
Scotland,292,,2020-07-02T00:00:00
Scotland,3151,,2020-07-02T00:00:00
Scotland,345,,2020-07-02T00:00:00
Scotland,375,,2020-07-02T00:00:00
Scotland,4858,,2020-07-02T00:00:00
Scotland,54,,2020-07-02T00:00:00
Scotland,7,,2020-07-02T00:00:00
Scotland,9,,2020-07-02T00:00:00
Scotland,930,,2020-07-02T00:00:00
Scotland,,,2020-07-02T00:00:00
