country,nuts_3,cases,intensive_care,datetime
Scotland,Ayrshire and Arran,,,2020-06-15T00:00:00
Scotland,Borders,,,2020-06-15T00:00:00
Scotland,Dumfries and Galloway,,,2020-06-15T00:00:00
Scotland,Fife,,,2020-06-15T00:00:00
Scotland,Forth Valley,,,2020-06-15T00:00:00
Scotland,Grampian,,5,2020-06-15T00:00:00
Scotland,Greater Glasgow and Clyde,,,2020-06-15T00:00:00
Scotland,Highland,,,2020-06-15T00:00:00
Scotland,Lanarkshire,,,2020-06-15T00:00:00
Scotland,Lothian,,,2020-06-15T00:00:00
Scotland,Orkney,,,2020-06-15T00:00:00
Scotland,Shetland,,,2020-06-15T00:00:00
Scotland,Tayside,,,2020-06-15T00:00:00
Scotland,Eileanan Siar (Western Isles),,,2020-06-15T00:00:00
Scotland,Golden Jubilee National Hospital,,,2020-06-15T00:00:00
