country,cases,intensive_care,datetime
Scotland,,,2020-05-22T00:00:00
Scotland,1001,,2020-05-22T00:00:00
Scotland,1223,6,2020-05-22T00:00:00
Scotland,1641,,2020-05-22T00:00:00
Scotland,1913,8,2020-05-22T00:00:00
Scotland,257,,2020-05-22T00:00:00
Scotland,2634,9,2020-05-22T00:00:00
Scotland,322,,2020-05-22T00:00:00
Scotland,335,,2020-05-22T00:00:00
Scotland,3841,14,2020-05-22T00:00:00
Scotland,54,,2020-05-22T00:00:00
Scotland,6,,2020-05-22T00:00:00
Scotland,7,,2020-05-22T00:00:00
Scotland,826,,2020-05-22T00:00:00
Scotland,909,,2020-05-22T00:00:00
