wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;165;0.04;35;6;29;2076;178;61845;59936;333;59444;159;t00;2021-06-22
dolnoœl¹skie;13;0.04;1;0;1;152;17;4111;4194;25;4154;15;t02;2021-06-22
kujawsko-pomorskie;5;0.02;2;0;2;101;6;1332;2848;11;2819;18;t04;2021-06-22
lubelskie;6;0.03;8;2;6;114;11;5728;3132;7;3119;6;t06;2021-06-22
lubuskie;1;0.01;0;0;0;28;5;1182;1387;2;1382;3;t08;2021-06-22
³ódzkie;9;0.04;3;0;3;237;17;4945;4213;24;4170;19;t10;2021-06-22
ma³opolskie;16;0.05;0;0;0;140;19;3093;4941;23;4906;12;t12;2021-06-22
mazowieckie;29;0.05;2;0;2;326;29;21865;8993;40;8929;24;t14;2021-06-22
opolskie;2;0.02;3;0;3;41;5;1112;1253;5;1247;1;t16;2021-06-22
podkarpackie;12;0.06;0;0;0;76;6;1526;2912;93;2816;3;t18;2021-06-22
podlaskie;6;0.05;1;0;1;32;1;810;1559;6;1550;3;t20;2021-06-22
pomorskie;4;0.02;0;0;0;147;8;2859;4333;9;4313;11;t22;2021-06-22
œl¹skie;26;0.06;6;0;6;250;17;3613;7143;38;7081;24;t24;2021-06-22
œwiêtokrzyskie;4;0.03;2;1;1;65;8;2968;1742;8;1732;2;t26;2021-06-22
warmiñsko-mazurskie;4;0.03;1;1;0;56;6;863;1660;7;1650;3;t28;2021-06-22
wielkopolskie;14;0.04;4;2;2;190;13;3996;4299;18;4274;7;t30;2021-06-22
zachodniopomorskie;13;0.08;2;0;2;117;10;1814;2613;16;2591;6;t32;2021-06-22
