wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;7219;1.88;193;49;144;820;17078;216922;51139;7987;42507;645;t00;2021-04-24
dolnoœl¹skie;786;2.71;12;6;6;53;1833;20400;3427;837;2553;37;t02;2021-04-24
kujawsko-pomorskie;316;1.53;1;0;1;57;859;10229;1873;339;1521;13;t04;2021-04-24
lubelskie;278;1.32;1;0;1;41;790;10043;2347;302;2019;26;t06;2021-04-24
lubuskie;206;2.04;3;2;1;4;431;5523;1541;246;1283;12;t08;2021-04-24
³ódzkie;496;2.03;19;5;14;41;1200;15003;3178;560;2580;38;t10;2021-04-24
ma³opolskie;602;1.76;4;4;0;67;1461;18708;4214;670;3467;77;t12;2021-04-24
mazowieckie;993;1.83;33;9;24;104;2055;29854;7474;1101;6255;118;t14;2021-04-24
opolskie;268;2.73;3;1;2;17;414;5811;1781;292;1475;14;t16;2021-04-24
podkarpackie;206;0.97;19;4;15;140;463;9155;2203;222;1960;21;t18;2021-04-24
podlaskie;95;0.81;10;4;6;5;318;4033;918;106;808;4;t20;2021-04-24
pomorskie;356;1.52;3;1;2;36;879;10937;2867;391;2427;49;t22;2021-04-24
œl¹skie;1085;2.41;27;0;27;38;2788;30870;5526;1209;4223;94;t24;2021-04-24
œwiêtokrzyskie;152;1.24;3;1;2;9;504;6794;1331;181;1128;22;t26;2021-04-24
warmiñsko-mazurskie;152;1.07;0;0;0;14;431;5097;1396;163;1220;13;t28;2021-04-24
wielkopolskie;810;2.31;36;12;24;118;1859;24984;4598;870;3667;61;t30;2021-04-24
zachodniopomorskie;318;1.88;19;0;19;71;743;9016;2190;391;1771;28;t32;2021-04-24
