wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;204;16;220;0.05;0.00;0.06;7;2;5;490;23;0;5997;251;5735;11;t00;2022-06-01
dolnoœl¹skie;16;0;16;0.06;0;0.06;2;2;0;27;2;0;249;18;230;1;t02;2022-06-01
kujawsko-pomorskie;6;0;6;0.03;0;0.03;0;0;0;19;2;0;142;7;135;0;t04;2022-06-01
lubelskie;16;1;17;0.08;0.00;0.08;1;0;1;48;3;0;507;17;488;2;t06;2022-06-01
lubuskie;5;1;6;0.05;0.01;0.06;0;0;0;10;0;0;79;6;73;0;t08;2022-06-01
³ódzkie;11;0;11;0.04;0;0.04;0;0;0;55;0;0;268;11;257;0;t10;2022-06-01
ma³opolskie;12;2;14;0.04;0.01;0.04;0;0;0;47;6;0;553;16;537;0;t12;2022-06-01
mazowieckie;51;4;55;0.09;0.01;0.10;2;0;2;81;0;0;1208;58;1147;3;t14;2022-06-01
opolskie;1;0;1;0.01;0;0.01;0;0;0;15;0;0;113;4;109;0;t16;2022-06-01
podkarpackie;7;1;8;0.03;0.00;0.04;1;0;1;12;5;0;311;11;298;2;t18;2022-06-01
podlaskie;8;1;9;0.07;0.01;0.08;0;0;0;26;0;0;201;10;191;0;t20;2022-06-01
pomorskie;9;0;9;0.04;0;0.04;0;0;0;34;0;0;322;11;311;0;t22;2022-06-01
œl¹skie;31;2;33;0.07;0.00;0.07;1;0;1;62;5;0;566;39;526;1;t24;2022-06-01
œwiêtokrzyskie;4;1;5;0.03;0.01;0.04;0;0;0;12;0;0;219;5;213;1;t26;2022-06-01
warmiñsko-mazurskie;2;2;4;0.01;0.01;0.03;0;0;0;9;0;0;180;9;170;1;t28;2022-06-01
wielkopolskie;9;0;9;0.03;0;0.03;0;0;0;19;0;0;356;9;347;0;t30;2022-06-01
zachodniopomorskie;6;1;7;0.04;0.01;0.04;0;0;0;14;0;0;132;10;122;0;t32;2022-06-01
