wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;7152;1.86;419;81;338;10947;6423;190953;47141;7918;38419;804;t00
dolnoœl¹skie;567;1.96;11;10;1;672;321;13251;3701;631;2998;72;t02
kujawsko-pomorskie;729;3.52;44;4;40;922;586;13724;3110;790;2277;43;t04
lubelskie;323;1.54;24;4;20;545;392;8274;2125;365;1727;33;t06
lubuskie;217;2.15;23;8;15;355;169;5384;1198;234;948;16;t08
³ódzkie;410;1.67;44;4;40;669;452;12036;3502;474;2950;78;t10
ma³opolskie;315;0.92;13;8;5;530;258;9588;2696;343;2311;42;t12
mazowieckie;874;1.61;63;7;56;1760;851;36493;6362;986;5231;145;t14
opolskie;143;1.46;7;0;7;181;145;4463;1219;174;1022;23;t16
podkarpackie;216;1.02;15;0;15;281;136;5725;1815;238;1569;8;t18
podlaskie;226;1.92;3;0;3;346;155;5427;981;242;729;10;t20
pomorskie;740;3.15;31;5;26;934;626;16756;3346;785;2493;68;t22
œl¹skie;489;1.08;27;2;25;973;508;14718;4528;577;3899;52;t24
œwiêtokrzyskie;147;1.20;26;3;23;175;121;2869;1245;174;1037;34;t26
warmiñsko-mazurskie;415;2.92;26;8;18;690;568;10471;1905;443;1443;19;t28
wielkopolskie;740;2.11;36;17;19;1126;604;19211;3858;790;3014;54;t30
zachodniopomorskie;469;2.77;26;1;25;780;464;12538;2546;522;1940;84;t32
