wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;3852;1.00;147;43;104;573;6687;124442;52161;4170;47527;464;t00;2021-05-08
dolnoœl¹skie;324;1.12;9;5;4;22;700;11497;2940;345;2569;26;t02;2021-05-08
kujawsko-pomorskie;194;0.94;4;0;4;47;293;5456;2045;204;1810;31;t04;2021-05-08
lubelskie;177;0.84;9;2;7;29;314;6348;2079;192;1866;21;t06;2021-05-08
lubuskie;97;0.96;1;1;0;10;121;3069;1249;100;1143;6;t08;2021-05-08
³ódzkie;297;1.21;4;0;4;81;493;8931;3788;318;3441;29;t10;2021-05-08
ma³opolskie;314;0.92;1;0;1;57;537;10163;4977;351;4581;45;t12;2021-05-08
mazowieckie;529;0.97;13;7;6;81;844;21553;8448;597;7790;61;t14;2021-05-08
opolskie;116;1.18;3;1;2;2;249;3565;1389;125;1256;8;t16;2021-05-08
podkarpackie;93;0.44;6;2;4;60;203;3795;2269;101;2147;21;t18;2021-05-08
podlaskie;77;0.65;7;2;5;4;116;2385;948;80;867;1;t20;2021-05-08
pomorskie;217;0.92;16;2;14;14;357;7497;3812;239;3527;46;t22;2021-05-08
œl¹skie;508;1.13;27;2;25;46;1002;14636;5294;553;4681;60;t24;2021-05-08
œwiêtokrzyskie;107;0.87;5;2;3;8;201;2944;1412;118;1273;21;t26;2021-05-08
warmiñsko-mazurskie;62;0.44;0;0;0;4;148;3028;1421;72;1339;10;t28;2021-05-08
wielkopolskie;501;1.43;29;17;12;58;727;13521;4131;522;3583;26;t30;2021-05-08
zachodniopomorskie;192;1.13;13;0;13;49;359;6042;2112;206;1868;38;t32;2021-05-08
