wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1090;0.28;6;2;4;303;796;84280;30175;1235;28864;76;t00;2021-10-02
dolnoœl¹skie;44;0.15;0;0;0;5;43;5784;1565;49;1512;4;t02;2021-10-02
kujawsko-pomorskie;35;0.17;0;0;0;11;31;2228;1171;42;1122;7;t04;2021-10-02
lubelskie;196;0.93;0;0;0;26;132;8865;1761;221;1532;8;t06;2021-10-02
lubuskie;18;0.18;0;0;0;4;11;2074;562;18;542;2;t08;2021-10-02
³ódzkie;58;0.24;0;0;0;14;48;5901;2048;67;1973;8;t10;2021-10-02
ma³opolskie;69;0.20;0;0;0;30;53;4434;2690;83;2606;1;t12;2021-10-02
mazowieckie;227;0.42;3;2;1;93;120;23884;4352;257;4081;14;t14;2021-10-02
opolskie;16;0.16;0;0;0;4;11;1640;617;19;597;1;t16;2021-10-02
podkarpackie;86;0.40;0;0;0;40;58;2775;2023;92;1930;1;t18;2021-10-02
podlaskie;70;0.59;1;0;1;13;63;4070;811;79;726;6;t20;2021-10-02
pomorskie;41;0.17;0;0;0;11;39;4758;2086;44;2036;6;t22;2021-10-02
œl¹skie;57;0.13;1;0;1;4;59;4820;3195;65;3128;2;t24;2021-10-02
œwiêtokrzyskie;14;0.11;0;0;0;4;5;1170;894;16;876;2;t26;2021-10-02
warmiñsko-mazurskie;23;0.16;0;0;0;2;29;1798;791;29;758;4;t28;2021-10-02
wielkopolskie;43;0.12;1;0;1;31;34;6194;1752;46;1702;4;t30;2021-10-02
zachodniopomorskie;73;0.43;0;0;0;11;59;3864;1490;85;1400;5;t32;2021-10-02
