wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;239;0.06;47;15;32;3332;611;57526;55994;408;55438;148;t00;2021-06-11
dolnoœl¹skie;23;0.08;6;4;2;254;70;4161;3786;36;3740;10;t02;2021-06-11
kujawsko-pomorskie;15;0.07;3;0;3;146;34;1565;2455;18;2429;8;t04;2021-06-11
lubelskie;19;0.09;1;0;1;193;42;2589;2598;26;2566;6;t06;2021-06-11
lubuskie;6;0.06;0;0;0;80;12;1316;1334;10;1320;4;t08;2021-06-11
³ódzkie;22;0.09;1;1;0;417;42;4523;4102;30;4058;14;t10;2021-06-11
ma³opolskie;15;0.04;2;0;2;215;42;3328;4361;20;4334;7;t12;2021-06-11
mazowieckie;40;0.07;3;2;1;489;79;19788;8364;93;8246;25;t14;2021-06-11
opolskie;6;0.06;1;1;0;62;40;1447;1141;8;1131;2;t16;2021-06-11
podkarpackie;10;0.05;3;1;2;115;10;1495;2408;43;2352;13;t18;2021-06-11
podlaskie;5;0.04;1;0;1;96;16;896;1181;10;1164;7;t20;2021-06-11
pomorskie;12;0.05;5;0;5;224;25;3017;3647;14;3623;10;t22;2021-06-11
œl¹skie;13;0.03;7;2;5;354;73;4158;6324;26;6280;18;t24;2021-06-11
œwiêtokrzyskie;5;0.04;5;2;3;62;10;1126;1505;7;1492;6;t26;2021-06-11
warmiñsko-mazurskie;5;0.04;2;0;2;90;15;985;1468;8;1460;0;t28;2021-06-11
wielkopolskie;24;0.07;3;2;1;327;54;4939;4050;31;4010;9;t30;2021-06-11
zachodniopomorskie;13;0.08;4;0;4;204;45;2179;2038;20;2011;7;t32;2021-06-11
