wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;6930;1.81;360;90;270;11982;2522;135235;52056;7619;43676;761;t00;2021-02-09
dolnoœl¹skie;271;0.93;13;6;7;728;112;7891;3093;319;2741;33;t02;2021-02-09
kujawsko-pomorskie;568;2.74;34;5;29;966;236;9998;3251;594;2607;50;t04;2021-02-09
lubelskie;322;1.53;34;5;29;527;90;6302;2486;365;2098;23;t06;2021-02-09
lubuskie;258;2.55;12;11;1;375;86;4340;1794;278;1506;10;t08;2021-02-09
³ódzkie;374;1.53;29;7;22;635;147;8332;3410;415;2905;90;t10;2021-02-09
ma³opolskie;340;1.00;15;8;7;635;153;6936;3147;368;2722;57;t12;2021-02-09
mazowieckie;1074;1.98;54;12;42;2151;529;26674;7766;1211;6412;143;t14;2021-02-09
opolskie;68;0.69;8;0;8;200;46;2493;863;79;775;9;t16;2021-02-09
podkarpackie;290;1.36;12;2;10;461;82;5197;2673;353;2280;40;t18;2021-02-09
podlaskie;295;2.51;13;0;13;390;79;4331;1445;323;1107;15;t20;2021-02-09
pomorskie;540;2.30;23;5;18;1126;282;12684;3425;571;2806;48;t22;2021-02-09
œl¹skie;688;1.53;30;7;23;1122;179;10202;5849;745;5039;65;t24;2021-02-09
œwiêtokrzyskie;131;1.07;16;3;13;176;42;2118;1332;158;1136;38;t26;2021-02-09
warmiñsko-mazurskie;607;4.27;17;3;14;819;101;7794;2576;625;1927;24;t28;2021-02-09
wielkopolskie;627;1.79;32;15;17;1042;158;12587;4367;700;3614;53;t30;2021-02-09
zachodniopomorskie;353;2.08;18;1;17;626;173;7350;2277;370;1873;34;t32;2021-02-09
