wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;674;188;862;0.18;0.05;0.22;7;3;4;2120;0;0;7855;962;6866;27;t00;2022-10-31
dolnoœl¹skie;64;10;74;0.22;0.03;0.26;2;0;2;137;0;0;395;77;317;1;t02;2022-10-31
kujawsko-pomorskie;44;7;51;0.21;0.03;0.25;1;0;1;145;0;0;375;54;316;5;t04;2022-10-31
lubelskie;40;14;54;0.19;0.07;0.26;2;2;0;173;0;0;679;61;617;1;t06;2022-10-31
lubuskie;21;4;25;0.21;0.04;0.25;1;1;0;52;0;0;192;26;165;1;t08;2022-10-31
³ódzkie;27;11;38;0.11;0.04;0.16;0;0;0;144;0;0;361;42;319;0;t10;2022-10-31
ma³opolskie;52;12;64;0.15;0.04;0.19;0;0;0;177;0;0;624;68;555;1;t12;2022-10-31
mazowieckie;84;25;109;0.15;0.05;0.20;0;0;0;295;0;0;1165;122;1040;3;t14;2022-10-31
opolskie;13;7;20;0.13;0.07;0.20;1;0;1;62;0;0;250;31;219;0;t16;2022-10-31
podkarpackie;38;8;46;0.18;0.04;0.22;0;0;0;91;0;0;392;55;335;2;t18;2022-10-31
podlaskie;16;13;29;0.14;0.11;0.25;0;0;0;94;0;0;301;31;269;1;t20;2022-10-31
pomorskie;36;9;45;0.15;0.04;0.19;0;0;0;111;0;0;415;47;365;3;t22;2022-10-31
œl¹skie;90;24;114;0.20;0.05;0.25;0;0;0;268;0;0;789;122;663;4;t24;2022-10-31
œwiêtokrzyskie;22;3;25;0.18;0.02;0.20;0;0;0;77;0;0;285;31;254;0;t26;2022-10-31
warmiñsko-mazurskie;37;10;47;0.26;0.07;0.33;0;0;0;83;0;0;388;56;332;0;t28;2022-10-31
wielkopolskie;47;19;66;0.13;0.05;0.19;0;0;0;120;0;0;425;71;353;1;t30;2022-10-31
zachodniopomorskie;30;8;38;0.18;0.05;0.22;0;0;0;89;0;0;285;40;243;2;t32;2022-10-31
