wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;140;0.04;1;0;1;528;416;55463;33251;188;32965;98;t00;2021-06-13
dolnoœl¹skie;8;0.03;0;0;0;13;26;3976;1725;10;1713;2;t02;2021-06-13
kujawsko-pomorskie;6;0.03;0;0;0;13;19;1396;1086;6;1072;8;t04;2021-06-13
lubelskie;8;0.04;0;0;0;21;38;2733;1388;10;1375;3;t06;2021-06-13
lubuskie;2;0.02;0;0;0;18;6;1331;748;5;739;4;t08;2021-06-13
³ódzkie;16;0.07;0;0;0;150;45;4387;2018;21;1993;4;t10;2021-06-13
ma³opolskie;9;0.03;0;0;0;24;29;3019;3054;11;3030;13;t12;2021-06-13
mazowieckie;29;0.05;0;0;0;54;60;20401;6186;36;6135;15;t14;2021-06-13
opolskie;5;0.05;0;0;0;2;22;1198;623;5;614;4;t16;2021-06-13
podkarpackie;2;0.01;0;0;0;8;16;1289;1703;6;1694;3;t18;2021-06-13
podlaskie;1;0.01;0;0;0;3;7;740;679;2;673;4;t20;2021-06-13
pomorskie;7;0.03;0;0;0;30;13;3009;2203;13;2185;5;t22;2021-06-13
œl¹skie;13;0.03;0;0;0;45;36;3652;3833;20;3805;8;t24;2021-06-13
œwiêtokrzyskie;5;0.04;0;0;0;10;13;1295;958;8;944;6;t26;2021-06-13
warmiñsko-mazurskie;4;0.03;0;0;0;6;12;875;741;4;735;2;t28;2021-06-13
wielkopolskie;14;0.04;1;0;1;38;53;4338;2166;16;2143;7;t30;2021-06-13
zachodniopomorskie;6;0.04;0;0;0;93;18;1816;1363;9;1348;6;t32;2021-06-13
