wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;98;28;126;0.03;0.01;0.03;0;0;0;666;0;0;2047;131;1914;2;t00;2024-12-24
dolnoœl¹skie;2;2;4;0.01;0.01;0.01;0;0;0;14;0;0;68;4;64;0;t02;2024-12-24
kujawsko-pomorskie;5;2;7;0.02;0.01;0.03;0;0;0;51;0;0;109;8;100;1;t04;2024-12-24
lubelskie;6;3;9;0.03;0.01;0.04;0;0;0;34;0;0;71;9;61;1;t06;2024-12-24
lubuskie;1;1;2;0.01;0.01;0.02;0;0;0;6;0;0;11;2;9;0;t08;2024-12-24
³ódzkie;13;4;17;0.05;0.02;0.07;0;0;0;30;0;0;99;18;81;0;t10;2024-12-24
ma³opolskie;8;0;8;0.02;0;0.02;0;0;0;111;0;0;301;8;293;0;t12;2024-12-24
mazowieckie;18;5;23;0.03;0.01;0.04;0;0;0;102;0;0;612;24;588;0;t14;2024-12-24
opolskie;1;1;2;0.01;0.01;0.02;0;0;0;4;0;0;36;2;34;0;t16;2024-12-24
podkarpackie;5;1;6;0.02;0.00;0.03;0;0;0;79;0;0;152;6;146;0;t18;2024-12-24
podlaskie;17;4;21;0.14;0.03;0.18;0;0;0;94;0;0;121;21;100;0;t20;2024-12-24
pomorskie;3;1;4;0.01;0.00;0.02;0;0;0;29;0;0;92;4;88;0;t22;2024-12-24
œl¹skie;4;2;6;0.01;0.00;0.01;0;0;0;61;0;0;179;6;173;0;t24;2024-12-24
œwiêtokrzyskie;3;0;3;0.02;0;0.02;0;0;0;9;0;0;24;3;21;0;t26;2024-12-24
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;8;0;0;25;0;25;0;t28;2024-12-24
wielkopolskie;8;2;10;0.02;0.01;0.03;0;0;0;12;0;0;36;10;26;0;t30;2024-12-24
zachodniopomorskie;3;0;3;0.02;0;0.02;0;0;0;21;0;0;56;5;51;0;t32;2024-12-24
