wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;107;0.03;18;5;13;1911;145;91819;46691;155;46462;74;t00;2021-07-02
dolnoœl¹skie;7;0.02;1;0;1;169;13;8337;2953;16;2931;6;t02;2021-07-02
kujawsko-pomorskie;4;0.02;2;0;2;79;6;2779;1848;7;1837;4;t04;2021-07-02
lubelskie;6;0.03;2;1;1;127;13;3944;2108;7;2097;4;t06;2021-07-02
lubuskie;1;0.01;0;0;0;31;1;2141;1034;2;1031;1;t08;2021-07-02
³ódzkie;6;0.02;1;0;1;261;13;7467;3092;9;3076;7;t10;2021-07-02
ma³opolskie;8;0.02;1;0;1;130;8;6329;3924;14;3905;5;t12;2021-07-02
mazowieckie;20;0.04;3;1;2;287;14;25844;6573;25;6539;9;t14;2021-07-02
opolskie;1;0.01;0;0;0;36;3;2245;966;1;964;1;t16;2021-07-02
podkarpackie;5;0.02;0;0;0;133;4;3078;2561;14;2546;1;t18;2021-07-02
podlaskie;3;0.03;0;0;0;33;7;1726;1101;3;1098;0;t20;2021-07-02
pomorskie;6;0.03;1;0;1;131;10;5711;2756;6;2742;8;t22;2021-07-02
œl¹skie;8;0.02;2;2;0;192;15;7973;5192;14;5164;14;t24;2021-07-02
œwiêtokrzyskie;3;0.02;1;0;1;32;4;1785;1295;3;1290;2;t26;2021-07-02
warmiñsko-mazurskie;4;0.03;0;0;0;52;4;1673;1349;4;1345;0;t28;2021-07-02
wielkopolskie;12;0.03;4;1;3;142;23;7705;3190;14;3170;6;t30;2021-07-02
zachodniopomorskie;8;0.05;0;0;0;65;5;3014;1764;11;1748;5;t32;2021-07-02
