wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;67;11;78;0.02;0.00;0.02;0;0;0;2;0;0;2259;91;2162;6;t00;2022-11-26
dolnoœl¹skie;10;0;10;0.03;0;0.03;0;0;0;0;0;0;96;10;86;0;t02;2022-11-26
kujawsko-pomorskie;2;0;2;0.01;0;0.01;0;0;0;0;0;0;37;2;34;1;t04;2022-11-26
lubelskie;3;1;4;0.01;0.00;0.02;0;0;0;0;0;0;154;5;149;0;t06;2022-11-26
lubuskie;0;0;0;0;0;0;0;0;0;0;0;0;34;0;33;1;t08;2022-11-26
³ódzkie;0;0;0;0;0;0;0;0;0;2;0;0;64;1;63;0;t10;2022-11-26
ma³opolskie;4;3;7;0.01;0.01;0.02;0;0;0;0;0;0;158;8;150;0;t12;2022-11-26
mazowieckie;8;1;9;0.01;0.00;0.02;0;0;0;0;0;0;475;13;462;0;t14;2022-11-26
opolskie;2;2;4;0.02;0.02;0.04;0;0;0;0;0;0;54;4;50;0;t16;2022-11-26
podkarpackie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;121;1;120;0;t18;2022-11-26
podlaskie;5;0;5;0.04;0;0.04;0;0;0;0;0;0;57;5;52;0;t20;2022-11-26
pomorskie;7;1;8;0.03;0.00;0.03;0;0;0;0;0;0;339;11;328;0;t22;2022-11-26
œl¹skie;5;0;5;0.01;0;0.01;0;0;0;0;0;0;132;6;126;0;t24;2022-11-26
œwiêtokrzyskie;3;1;4;0.02;0.01;0.03;0;0;0;0;0;0;98;6;91;1;t26;2022-11-26
warmiñsko-mazurskie;2;0;2;0.01;0;0.01;0;0;0;0;0;0;63;2;61;0;t28;2022-11-26
wielkopolskie;2;1;3;0.01;0.00;0.01;0;0;0;0;0;0;97;3;91;3;t30;2022-11-26
zachodniopomorskie;3;0;3;0.02;0;0.02;0;0;0;0;0;0;38;3;35;0;t32;2022-11-26
