wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;2419;0.63;38;10;28;193;7401;170854;19945;2743;16877;325;t00
dolnoœl¹skie;179;0.62;1;0;1;6;371;11853;1774;198;1546;30;t02
kujawsko-pomorskie;218;1.05;5;0;5;42;686;11660;1298;232;1045;21;t04
lubelskie;78;0.37;2;1;1;11;363;7113;828;111;712;5;t06
lubuskie;134;1.33;0;0;0;8;232;4810;664;145;512;7;t08
³ódzkie;118;0.48;0;0;0;18;456;10659;1097;135;944;18;t10
ma³opolskie;115;0.34;0;0;0;5;289;8633;1325;128;1184;13;t12
mazowieckie;371;0.68;4;2;2;21;1069;34707;2977;420;2484;73;t14
opolskie;45;0.46;0;0;0;2;152;3892;503;51;444;8;t16
podkarpackie;61;0.29;0;0;0;2;194;5267;719;72;636;11;t18
podlaskie;95;0.81;1;1;0;2;230;4786;451;106;341;4;t20
pomorskie;357;1.52;4;1;3;26;709;14848;1787;388;1354;45;t22
œl¹skie;147;0.33;1;0;1;8;588;12740;1981;174;1772;35;t24
œwiêtokrzyskie;40;0.33;0;0;0;0;135;2627;619;51;553;15;t26
warmiñsko-mazurskie;75;0.53;0;0;0;10;512;8805;570;84;483;3;t28
wielkopolskie;200;0.57;20;5;15;22;709;17352;1656;233;1409;14;t30
zachodniopomorskie;130;0.77;0;0;0;10;642;11082;925;149;763;13;t32
