wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;124;0.03;3;0;3;1438;82;85344;42208;172;41956;80;t00;2021-07-20
dolnoœl¹skie;15;0.05;0;0;0;126;7;7666;2769;21;2747;1;t02;2021-07-20
kujawsko-pomorskie;5;0.02;0;0;0;63;4;2511;1684;5;1672;7;t04;2021-07-20
lubelskie;13;0.06;0;0;0;91;0;5246;1963;15;1946;2;t06;2021-07-20
lubuskie;0;0;0;0;0;46;1;2087;1045;1;1042;2;t08;2021-07-20
³ódzkie;8;0.03;0;0;0;210;11;6760;2972;10;2959;3;t10;2021-07-20
ma³opolskie;11;0.03;1;0;1;91;10;5495;3324;15;3301;8;t12;2021-07-20
mazowieckie;22;0.04;0;0;0;219;12;23405;6247;31;6196;20;t14;2021-07-20
opolskie;1;0.01;0;0;0;35;0;2077;858;3;852;3;t16;2021-07-20
podkarpackie;3;0.01;0;0;0;38;4;2902;2200;7;2190;3;t18;2021-07-20
podlaskie;5;0.04;0;0;0;31;4;2097;1007;7;999;1;t20;2021-07-20
pomorskie;7;0.03;1;0;1;89;2;4513;2300;9;2285;6;t22;2021-07-20
œl¹skie;10;0.02;0;0;0;144;7;6712;4799;13;4778;8;t24;2021-07-20
œwiêtokrzyskie;2;0.02;0;0;0;36;2;1687;1388;4;1380;4;t26;2021-07-20
warmiñsko-mazurskie;3;0.02;0;0;0;35;3;1782;1221;6;1211;4;t28;2021-07-20
wielkopolskie;6;0.02;0;0;0;136;12;7212;2738;10;2724;4;t30;2021-07-20
zachodniopomorskie;10;0.06;1;0;1;46;2;3172;2017;11;2005;1;t32;2021-07-20
