wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;11106;2.90;22;7;15;985;13797;151583;71136;12551;57726;859;t00;2022-01-08
dolnoœl¹skie;927;3.20;0;0;0;38;1149;11614;4356;1054;3254;48;t02;2022-01-08
kujawsko-pomorskie;390;1.88;0;0;0;76;701;6827;3069;434;2602;33;t04;2022-01-08
lubelskie;468;2.23;0;0;0;44;524;5918;3177;522;2633;22;t06;2022-01-08
lubuskie;252;2.49;2;2;0;7;398;4396;1463;289;1154;20;t08;2022-01-08
³ódzkie;590;2.41;0;0;0;37;895;8769;4384;689;3638;57;t10;2022-01-08
ma³opolskie;1469;4.30;0;0;0;88;1606;16238;7868;1646;6111;111;t12;2022-01-08
mazowieckie;1820;3.35;9;4;5;133;1842;25142;11924;2096;9708;120;t14;2022-01-08
opolskie;249;2.54;0;0;0;26;361;4472;1294;281;995;18;t16;2022-01-08
podkarpackie;508;2.39;0;0;0;71;588;7334;3754;594;3152;8;t18;2022-01-08
podlaskie;212;1.80;0;0;0;21;216;2660;1573;243;1309;21;t20;2022-01-08
pomorskie;887;3.78;5;0;5;72;893;10724;5780;998;4664;118;t22;2022-01-08
œl¹skie;1262;2.80;0;0;0;111;1616;17057;7258;1415;5744;99;t24;2022-01-08
œwiêtokrzyskie;279;2.27;0;0;0;12;346;3621;1821;318;1474;29;t26;2022-01-08
warmiñsko-mazurskie;246;1.73;1;1;0;14;444;4603;1755;268;1476;11;t28;2022-01-08
wielkopolskie;912;2.61;0;0;0;84;1418;14633;5308;993;4242;73;t30;2022-01-08
zachodniopomorskie;526;3.11;5;0;5;148;737;7520;3570;591;2921;58;t32;2022-01-08
