wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;309;81;390;0.08;0.02;0.10;2;1;1;1123;0;0;5699;438;5238;23;t00;2022-11-24
dolnoœl¹skie;18;8;26;0.06;0.03;0.09;0;0;0;81;0;0;254;28;226;0;t02;2022-11-24
kujawsko-pomorskie;14;3;17;0.07;0.01;0.08;1;0;1;63;0;0;200;17;182;1;t04;2022-11-24
lubelskie;15;2;17;0.07;0.01;0.08;0;0;0;76;0;0;504;21;482;1;t06;2022-11-24
lubuskie;12;2;14;0.12;0.02;0.14;0;0;0;26;0;0;102;14;88;0;t08;2022-11-24
³ódzkie;22;6;28;0.09;0.02;0.11;0;0;0;62;0;0;248;30;216;2;t10;2022-11-24
ma³opolskie;30;14;44;0.09;0.04;0.13;0;0;0;96;0;0;473;47;422;4;t12;2022-11-24
mazowieckie;39;5;44;0.07;0.01;0.08;0;0;0;144;0;0;924;48;871;5;t14;2022-11-24
opolskie;15;3;18;0.15;0.03;0.18;0;0;0;33;0;0;311;26;282;3;t16;2022-11-24
podkarpackie;12;1;13;0.06;0.00;0.06;0;0;0;32;0;0;286;16;269;1;t18;2022-11-24
podlaskie;11;2;13;0.09;0.02;0.11;0;0;0;53;0;0;196;16;180;0;t20;2022-11-24
pomorskie;15;7;22;0.06;0.03;0.09;1;1;0;68;0;0;289;24;265;0;t22;2022-11-24
œl¹skie;37;12;49;0.08;0.03;0.11;0;0;0;168;0;0;592;56;536;0;t24;2022-11-24
œwiêtokrzyskie;9;1;10;0.07;0.01;0.08;0;0;0;37;0;0;189;11;178;0;t26;2022-11-24
warmiñsko-mazurskie;8;4;12;0.06;0.03;0.08;0;0;0;46;0;0;262;16;246;0;t28;2022-11-24
wielkopolskie;25;5;30;0.07;0.01;0.09;0;0;0;70;0;0;353;31;321;1;t30;2022-11-24
zachodniopomorskie;20;5;25;0.12;0.03;0.15;0;0;0;67;0;0;228;28;198;2;t32;2022-11-24
