wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;2085;0.54;33;3;30;6991;491;89217;43668;2319;41185;164;t00;2021-10-05
dolnoœl¹skie;88;0.30;1;1;0;418;21;6109;2641;102;2529;10;t02;2021-10-05
kujawsko-pomorskie;58;0.28;3;0;3;343;23;2621;1990;68;1917;5;t04;2021-10-05
lubelskie;399;1.90;9;0;9;908;78;9439;3333;424;2899;10;t06;2021-10-05
lubuskie;27;0.27;0;0;0;149;5;2152;1077;32;1042;3;t08;2021-10-05
³ódzkie;112;0.46;0;0;0;422;24;5900;3456;127;3319;10;t10;2021-10-05
ma³opolskie;122;0.36;1;1;0;417;32;4792;2959;133;2817;9;t12;2021-10-05
mazowieckie;346;0.64;1;0;1;1142;83;23003;6363;388;5947;28;t14;2021-10-05
opolskie;20;0.20;1;0;1;105;7;1772;825;24;799;2;t16;2021-10-05
podkarpackie;89;0.42;6;0;6;321;22;2825;2521;104;2408;9;t18;2021-10-05
podlaskie;268;2.28;6;0;6;412;33;5589;1556;301;1243;12;t20;2021-10-05
pomorskie;93;0.40;0;0;0;421;22;4924;2364;102;2255;7;t22;2021-10-05
œl¹skie;130;0.29;2;1;1;641;31;5302;4777;141;4624;12;t24;2021-10-05
œwiêtokrzyskie;38;0.31;2;0;2;112;13;1244;1362;38;1322;2;t26;2021-10-05
warmiñsko-mazurskie;70;0.49;0;0;0;217;18;2663;1419;80;1333;6;t28;2021-10-05
wielkopolskie;75;0.21;1;0;1;503;28;6259;2745;88;2635;22;t30;2021-10-05
zachodniopomorskie;125;0.74;0;0;0;455;46;4601;2196;136;2046;14;t32;2021-10-05
