wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;608;212;820;0.16;0.06;0.21;5;1;4;1025;0;0;5269;895;4362;12;t00;2023-02-03
dolnoœl¹skie;40;14;54;0.14;0.05;0.19;0;0;0;81;0;0;265;63;201;1;t02;2023-02-03
kujawsko-pomorskie;49;23;72;0.24;0.11;0.35;0;0;0;80;0;0;233;74;159;0;t04;2023-02-03
lubelskie;26;9;35;0.12;0.04;0.17;0;0;0;43;0;0;328;37;291;0;t06;2023-02-03
lubuskie;20;11;31;0.20;0.11;0.31;0;0;0;57;0;0;136;32;104;0;t08;2023-02-03
³ódzkie;35;6;41;0.14;0.02;0.17;0;0;0;80;0;0;260;42;218;0;t10;2023-02-03
ma³opolskie;69;21;90;0.20;0.06;0.26;0;0;0;137;0;0;540;100;439;1;t12;2023-02-03
mazowieckie;108;34;142;0.20;0.06;0.26;3;1;2;128;0;0;869;151;716;2;t14;2023-02-03
opolskie;20;8;28;0.20;0.08;0.29;0;0;0;16;0;0;211;30;179;2;t16;2023-02-03
podkarpackie;21;4;25;0.10;0.02;0.12;0;0;0;18;0;0;188;32;156;0;t18;2023-02-03
podlaskie;14;6;20;0.12;0.05;0.17;0;0;0;22;0;0;168;21;147;0;t20;2023-02-03
pomorskie;21;9;30;0.09;0.04;0.13;0;0;0;44;0;0;215;36;177;2;t22;2023-02-03
œl¹skie;88;39;127;0.20;0.09;0.28;1;0;1;143;0;0;569;139;427;3;t24;2023-02-03
œwiêtokrzyskie;20;4;24;0.16;0.03;0.20;1;0;1;22;0;0;140;26;114;0;t26;2023-02-03
warmiñsko-mazurskie;22;6;28;0.15;0.04;0.20;0;0;0;25;0;0;321;30;291;0;t28;2023-02-03
wielkopolskie;25;11;36;0.07;0.03;0.10;0;0;0;36;0;0;171;41;130;0;t30;2023-02-03
zachodniopomorskie;22;5;27;0.13;0.03;0.16;0;0;0;93;0;0;290;28;262;0;t32;2023-02-03
