wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;96;0.03;10;4;6;2565;96;104225;49463;131;49222;110;t00;2021-07-05
dolnoœl¹skie;9;0.03;1;1;0;201;9;9428;3152;9;3138;5;t02;2021-07-05
kujawsko-pomorskie;1;0.00;1;0;1;132;3;3251;2162;2;2151;9;t04;2021-07-05
lubelskie;5;0.02;1;1;0;144;10;4984;2495;8;2479;8;t06;2021-07-05
lubuskie;2;0.02;0;0;0;78;1;2513;1233;2;1227;4;t08;2021-07-05
³ódzkie;10;0.04;1;1;0;380;17;8371;3790;13;3768;9;t10;2021-07-05
ma³opolskie;4;0.01;0;0;0;170;9;7458;3841;5;3831;5;t12;2021-07-05
mazowieckie;15;0.03;2;1;1;360;8;27785;6765;21;6729;15;t14;2021-07-05
opolskie;1;0.01;0;0;0;31;1;2484;1070;2;1067;1;t16;2021-07-05
podkarpackie;4;0.02;0;0;0;86;6;3453;2517;5;2510;2;t18;2021-07-05
podlaskie;9;0.08;0;0;0;59;0;1958;1241;14;1224;3;t20;2021-07-05
pomorskie;5;0.02;0;0;0;175;2;6342;2726;8;2710;8;t22;2021-07-05
œl¹skie;6;0.01;2;0;2;254;11;9517;5594;9;5577;8;t24;2021-07-05
œwiêtokrzyskie;2;0.02;0;0;0;57;2;2011;1424;4;1419;1;t26;2021-07-05
warmiñsko-mazurskie;7;0.05;1;0;1;63;1;1939;1692;8;1684;0;t28;2021-07-05
wielkopolskie;10;0.03;1;0;1;254;11;9084;3355;14;3330;11;t30;2021-07-05
zachodniopomorskie;4;0.02;0;0;0;116;3;3579;2217;5;2209;3;t32;2021-07-05
