wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;5569;1.45;326;93;233;22317;6991;170761;50150;6835;42439;876;t00
dolnoœl¹skie;339;1.17;33;22;11;1383;300;11051;3562;403;3086;73;t02
kujawsko-pomorskie;526;2.54;25;0;25;2044;808;13912;3642;619;2963;60;t04
lubelskie;344;1.64;24;4;20;1089;294;7113;2834;389;2413;32;t06
lubuskie;89;0.88;5;4;1;651;218;4971;1365;135;1215;15;t08
³ódzkie;285;1.16;28;11;17;1345;393;10510;3660;362;3218;80;t10
ma³opolskie;236;0.69;26;10;16;864;237;8466;3021;292;2695;34;t12
mazowieckie;695;1.28;26;8;18;3058;1155;30540;6480;904;5371;205;t14
opolskie;116;1.18;8;3;5;452;147;3501;1005;147;841;17;t16
podkarpackie;108;0.51;24;4;20;537;141;4424;1777;137;1636;4;t18
podlaskie;143;1.22;2;0;2;718;187;4793;1385;164;1215;6;t20
pomorskie;583;2.48;25;7;18;1866;836;15181;3130;682;2356;92;t22
œl¹skie;522;1.16;41;5;36;2042;413;13579;5290;609;4635;46;t24
œwiêtokrzyskie;108;0.88;11;1;10;349;85;2476;1389;144;1214;31;t26
warmiñsko-mazurskie;483;3.40;23;6;17;1455;469;9997;3075;522;2520;33;t28
wielkopolskie;483;1.38;16;7;9;2662;538;17882;4217;602;3547;68;t30
zachodniopomorskie;400;2.36;9;1;8;1792;672;12345;2601;578;1966;57;t32
