wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;93;0.02;19;3;16;1741;125;99467;39928;160;39671;97;t00;2021-07-07
dolnoœl¹skie;3;0.01;5;2;3;150;12;9032;2354;18;2326;10;t02;2021-07-07
kujawsko-pomorskie;1;0.00;0;0;0;81;5;2948;1623;3;1613;7;t04;2021-07-07
lubelskie;3;0.01;1;0;1;77;6;5820;1947;5;1940;2;t06;2021-07-07
lubuskie;1;0.01;2;0;2;38;1;2446;924;1;922;1;t08;2021-07-07
³ódzkie;7;0.03;3;0;3;251;16;7718;2748;10;2732;6;t10;2021-07-07
ma³opolskie;7;0.02;6;0;6;133;8;6988;3058;10;3040;8;t12;2021-07-07
mazowieckie;17;0.03;1;1;0;269;17;26442;6088;24;6050;14;t14;2021-07-07
opolskie;3;0.03;0;0;0;25;2;2310;1003;5;997;1;t16;2021-07-07
podkarpackie;0;0;0;0;0;68;2;3224;1861;1;1860;0;t18;2021-07-07
podlaskie;8;0.07;0;0;0;35;5;1843;904;10;894;0;t20;2021-07-07
pomorskie;7;0.03;0;0;0;109;5;5982;2474;8;2459;7;t22;2021-07-07
œl¹skie;4;0.01;0;0;0;209;17;8903;4430;7;4412;11;t24;2021-07-07
œwiêtokrzyskie;4;0.03;0;0;0;39;5;1881;1181;5;1174;2;t26;2021-07-07
warmiñsko-mazurskie;13;0.09;0;0;0;34;3;1879;1455;25;1425;5;t28;2021-07-07
wielkopolskie;7;0.02;1;0;1;127;13;8597;2709;15;2686;8;t30;2021-07-07
zachodniopomorskie;6;0.04;0;0;0;96;6;3399;1686;10;1668;8;t32;2021-07-07
