wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1660;604;2264;0.43;0.16;0.59;1;1;0;1966;0;0;4416;2343;2071;2;t00;2024-09-19
dolnoœl¹skie;81;28;109;0.28;0.10;0.38;0;0;0;78;0;0;195;109;86;0;t02;2024-09-19
kujawsko-pomorskie;152;53;205;0.73;0.26;0.99;0;0;0;143;0;0;414;207;206;1;t04;2024-09-19
lubelskie;184;78;262;0.87;0.37;1.25;0;0;0;256;0;0;368;268;100;0;t06;2024-09-19
lubuskie;35;12;47;0.35;0.12;0.47;0;0;0;44;0;0;81;48;33;0;t08;2024-09-19
³ódzkie;66;17;83;0.27;0.07;0.34;0;0;0;95;0;0;158;85;73;0;t10;2024-09-19
ma³opolskie;124;47;171;0.36;0.14;0.50;0;0;0;158;0;0;288;173;115;0;t12;2024-09-19
mazowieckie;297;102;399;0.55;0.19;0.74;0;0;0;314;0;0;957;413;544;0;t14;2024-09-19
opolskie;23;9;32;0.23;0.09;0.33;0;0;0;22;0;0;89;32;57;0;t16;2024-09-19
podkarpackie;106;40;146;0.50;0.19;0.69;0;0;0;127;0;0;288;156;132;0;t18;2024-09-19
podlaskie;92;40;132;0.78;0.34;1.12;0;0;0;130;0;0;220;134;85;1;t20;2024-09-19
pomorskie;70;30;100;0.30;0.13;0.43;0;0;0;87;0;0;216;103;113;0;t22;2024-09-19
œl¹skie;96;38;134;0.21;0.08;0.30;1;1;0;155;0;0;302;135;167;0;t24;2024-09-19
œwiêtokrzyskie;78;16;94;0.63;0.13;0.76;0;0;0;72;0;0;130;96;34;0;t26;2024-09-19
warmiñsko-mazurskie;74;31;105;0.52;0.22;0.74;0;0;0;85;0;0;182;127;55;0;t28;2024-09-19
wielkopolskie;125;41;166;0.36;0.12;0.47;0;0;0;121;0;0;279;173;106;0;t30;2024-09-19
zachodniopomorskie;44;21;65;0.26;0.12;0.38;0;0;0;77;0;0;167;66;101;0;t32;2024-09-19
