wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;129;10;139;0.03;0.00;0.04;0;0;0;36;12;0;5941;170;5754;17;t00;2022-05-14
dolnoœl¹skie;6;0;6;0.02;0;0.02;0;0;0;9;0;0;357;6;351;0;t02;2022-05-14
kujawsko-pomorskie;3;0;3;0.01;0;0.01;0;0;0;0;2;0;145;5;138;2;t04;2022-05-14
lubelskie;9;2;11;0.04;0.01;0.05;0;0;0;1;0;0;279;11;268;0;t06;2022-05-14
lubuskie;0;1;1;0;0.01;0.01;0;0;0;0;0;0;69;2;67;0;t08;2022-05-14
³ódzkie;5;0;5;0.02;0;0.02;0;0;0;1;1;0;297;8;287;2;t10;2022-05-14
ma³opolskie;13;1;14;0.04;0.00;0.04;0;0;0;5;0;0;650;16;631;3;t12;2022-05-14
mazowieckie;29;5;34;0.05;0.01;0.06;0;0;0;6;3;0;1157;39;1116;2;t14;2022-05-14
opolskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;66;2;64;0;t16;2022-05-14
podkarpackie;6;0;6;0.03;0;0.03;0;0;0;2;0;0;330;9;319;2;t18;2022-05-14
podlaskie;13;0;13;0.11;0;0.11;0;0;0;0;1;0;165;20;145;0;t20;2022-05-14
pomorskie;9;0;9;0.04;0;0.04;0;0;0;0;0;0;323;10;312;1;t22;2022-05-14
œl¹skie;14;0;14;0.03;0;0.03;0;0;0;8;1;0;466;16;446;4;t24;2022-05-14
œwiêtokrzyskie;6;0;6;0.05;0;0.05;0;0;0;0;0;0;206;7;199;0;t26;2022-05-14
warmiñsko-mazurskie;2;0;2;0.01;0;0.01;0;0;0;1;0;0;123;2;121;0;t28;2022-05-14
wielkopolskie;2;0;2;0.01;0;0.01;0;0;0;2;3;0;362;5;357;0;t30;2022-05-14
zachodniopomorskie;3;1;4;0.02;0.01;0.02;0;0;0;1;1;0;200;4;196;0;t32;2022-05-14
